genre,count
Indie,24684
Action,16558
Adventure,13106
Casual,13083
Simulation,9491
Strategy,8819
RPG,7595
Early Access,2992
Free to Play,2687
Sports,1911
Racing,1553
Massively Multiplayer,1349
Design & Illustration,662
Utilities,507
Web Publishing,438
Animation & Modeling,265
Education,184
Video Production,175
Audio Production,164
Violent,138
Software Training,129
Gore,81
Photo Editing,77
Game Development,73
Nudity,57
Sexual Content,53
Movie,12
Accounting,11
Documentary,5
Valve,4
Short,3
360 Video,2
Tutorial,1
HTC,1
